"z","y","x","ax","ay","az","gx","gy","gz","b","c"
268,7,-9,0.05,0.47,9.63,-2320.92,1923.35,-3080.23,2.56,491
268,6,-7,0.17,-0.57,10.17,-2020.06,1027.94,1515.04,2.56,491
268,6,-6,1.59,-0.48,9.75,-988.54,949.14,1167.62,2.56,491
268,5,-6,0.63,-0.91,10.42,-286.53,945.56,623.21,2.56,491
268,5,-6,0.92,-0.84,10.33,415.47,494.27,2732.81,2.56,491
266,5,-6,1.15,0.66,10.45,1085.24,415.47,2675.5,2.56,491
265,5,-7,0.69,0.64,9.73,1547.28,379.66,1203.44,2.56,491
265,5,-8,0.63,1.35,9.32,1690.54,196.99,1310.89,2.57,491
264,5,-9,0.63,2.97,9.87,1593.84,-53.72,992.12,2.56,491
264,5,-10,0.84,2.36,10.16,1185.53,-100.29,282.95,2.56,492
264,5,-10,0.84,3.01,8.89,913.32,-257.88,-103.87,2.56,492
265,5,-11,-0.56,3.29,9.7,684.1,-286.53,-1468.48,2.57,492
266,5,-11,0.21,2.34,9.81,118.19,-888.25,-311.6,2.56,492
266,6,-11,2.72,2.48,9.23,-146.85,-1232.09,1242.84,2.56,492
266,7,-11,2.13,3.2,8.63,-143.27,-702.01,-1049.43,2.56,492
267,7,-11,1.25,2.86,8.76,-311.6,-752.15,-916.91,2.56,492
267,8,-11,1.15,3.38,8.94,-540.83,-988.54,-175.5,2.56,492
267,8,-10,2.44,2.02,8.54,-594.56,-977.79,-813.04,2.56,492
268,9,-10,1.33,1.71,8.31,-422.64,-838.11,-1418.34,2.56,492
269,9,-10,2.39,0.85,8.95,-386.82,-970.63,175.5,2.56,492
269,10,-10,3.14,2.08,8.94,-286.53,-644.7,250.72,2.56,492
269,10,-10,2.61,1.81,9.16,-261.46,-75.21,-1361.03,2.57,492
270,10,-10,1.63,2.34,9.5,-512.18,96.7,-490.69,2.56,492
270,10,-9,2.6,2.32,9.25,-702.01,232.81,-501.43,2.56,492
271,9,-9,1.82,1.78,8.98,-913.32,648.28,-1532.95,2.56,492
272,8,-8,1.34,0.93,8.51,-1045.85,752.15,-1640.4,2.56,492
273,8,-8,0.2,1.16,8.59,-1246.42,680.52,-1858.88,2.56,492
275,7,-7,-0.47,1.15,8.72,-1411.17,451.29,-2367.48,2.56,492
276,7,-6,0.22,0.75,8.45,-1590.26,-218.48,-1310.89,2.56,492
277,7,-5,-0.92,0.64,8.81,-1851.72,-845.27,-1815.9,2.56,492
278,8,-4,0.64,-0.01,8.02,-2023.64,-1694.13,68.05,2.56,492
278,9,-3,-0.43,1.6,7.89,-2127.51,-2045.13,-429.8,2.56,492
279,11,-1,0.4,1.37,7.48,-2582.38,-2879.66,-537.25,2.56,492
279,13,0,0.4,1.65,6.2,-3255.73,-3950.57,891.83,2.56,492
278,16,2,3.01,0.07,6.38,-3997.13,-4652.58,1475.64,2.56,492
277,19,5,5.05,-1.71,6.2,-4459.17,-4903.29,2195.56,2.56,493
276,22,9,4.76,-2.41,5.94,-4810.17,-4713.47,1515.04,2.56,493
276,25,13,5.61,-1.99,7.1,-5146.85,-4878.22,2088.11,2.56,493
275,27,17,6.64,-1.82,6.38,-5752.15,-4888.97,3162.61,2.56,493
274,29,22,5.97,-3.77,6.49,-6235.67,-4308.74,-200.57,2.56,493
275,32,27,5.6,-5.4,6.27,-6597.42,-4598.85,222.06,2.56,493
275,35,33,6.24,-5.35,6.21,-6916.19,-5057.31,1418.34,2.56,493
275,36,38,7.62,-6.59,4.9,-7335.24,-5404.73,1765.76,2.56,493
275,38,46,8.8,-10.09,3.43,-7360.32,-5472.78,1217.77,2.56,493
275,41,53,10.98,-8.24,4.17,-6826.65,-5340.26,-522.92,2.56,493
276,43,60,9.82,-6.72,3.97,-6901.86,-5179.08,-354.58,2.57,493
277,44,66,9.74,-5.83,3.38,-7510.75,-5225.64,-612.46,2.56,493
