z,y,x,ax,ay,az,gx,gy,gz,b,c
297,32,101,5.45,-7.91,-1.70,-28.65,211.32,322.35,2.57,255
297,32,101,5.47,-7.56,-1.79,-35.82,236.39,85.96,2.56,255
298,32,101,5.46,-7.63,-1.84,-111.03,225.64,196.99,2.56,255
298,32,101,5.72,-7.42,-1.84,-150.43,207.74,279.37,2.56,255
298,32,101,4.74,-7.19,-1.75,-157.59,189.83,128.94,2.56,255
298,32,101,4.47,-7.40,-1.30,93.12,28.65,168.34,2.57,255
298,32,101,3.51,-7.88,-1.16,676.93,25.07,-50.14,2.57,255
297,32,100,3.72,-7.19,0.14,1848.14,17.91,132.52,2.57,255
296,32,98,3.55,-6.76,0.45,3202.01,279.37,85.96,2.57,255
294,32,95,3.28,-8.03,-0.88,4212.03,368.91,2166.91,2.57,256
291,30,93,4.98,-6.89,0.28,5114.61,297.28,4792.26,2.56,256
286,27,89,4.38,-7.10,1.01,5780.80,759.31,3939.83,2.56,256
282,23,85,4.47,-8.49,0.74,6246.42,1099.57,4563.04,2.56,256
278,20,80,3.70,-9.30,0.80,6618.91,1364.61,4924.79,2.57,256
275,18,77,3.99,-10.08,1.78,6550.86,1210.60,4573.78,2.56,256
272,14,72,10.78,-12.23,-0.86,6468.48,1400.43,5225.64,2.56,256
269,12,68,-0.60,-8.84,4.76,6611.75,2188.40,3184.10,2.57,256
267,9,63,0.00,-10.08,4.24,6199.86,1343.12,3488.54,2.57,256
265,7,60,1.55,-6.99,4.08,6457.74,723.50,4283.67,2.56,256
262,4,56,1.91,-7.49,6.22,5945.56,619.63,3595.99,2.57,256
261,3,53,2.86,-8.96,5.41,5017.91,1232.09,2356.73,2.57,256
259,0,49,0.80,-5.72,6.85,4491.40,1558.02,1959.17,2.56,256
259,0,47,-0.16,-5.40,7.83,3108.88,1611.75,547.99,2.56,256
260,0,47,0.21,-3.27,11.92,114.61,1400.43,537.25,2.56,256
260,0,48,0.47,-7.60,6.85,-1497.13,139.68,401.15,2.57,256
261,0,49,-1.72,-8.78,7.70,-1844.56,-465.62,-1049.43,2.56,256
261,1,50,0.15,-6.57,8.71,-3244.99,-1135.39,-1887.54,2.57,256
262,2,53,1.44,-7.38,6.68,-5100.29,-1683.38,-2088.11,2.56,256
264,5,58,1.79,-7.52,6.11,-7521.49,-2020.06,-4276.50,2.56,256
267,9,64,3.70,-7.28,4.12,-9376.79,-2489.26,-6511.46,2.56,256
271,13,69,4.90,-8.80,1.78,-10325.93,-2671.92,-9455.59,2.57,256
278,20,75,4.24,-9.21,-0.92,-10408.31,-3273.64,-10447.71,2.56,256
284,27,83,3.62,-8.61,-1.81,-10179.08,-4376.79,-8395.42,2.57,256
290,32,92,2.04,-5.97,-2.74,-9426.93,-5139.68,-6038.68,2.57,256
294,35,100,1.42,-5.50,-1.79,-8162.61,-5265.04,-6346.71,2.57,256
297,38,106,4.72,-4.94,-0.12,-6522.21,-5257.88,-5186.25,2.56,256
299,38,113,5.18,-7.52,-0.54,-5633.95,-4856.73,522.92,2.56,257
298,36,118,10.62,-10.07,-1.89,-2929.80,-2657.59,146.85,2.56,257
298,36,119,10.77,-9.58,-3.75,39.40,-254.30,594.56,2.56,257
298,36,118,6.94,-7.14,-3.29,1930.52,1622.49,-770.06,2.57,257
298,37,116,3.96,-5.53,-2.65,1980.66,1532.95,415.47,2.56,257
298,37,114,3.48,-5.11,-2.37,1242.84,773.64,-154.01,2.56,257
298,37,114,5.11,-5.95,-2.97,368.91,-42.98,-447.71,2.57,257
297,37,114,8.59,-5.57,-5.13,-68.05,-669.77,662.61,2.57,257
297,37,115,7.64,-4.16,-8.02,-465.62,-1221.35,-1246.42,2.56,257
